Match Number,Round Number,Date,Location,Home Team,Away Team,Result
1,1,08/08/2025 19:15,Estádio Municipal de Rio Maior,Casa Pia AC,Sporting CP,0 - 2
7,1,09/08/2025 14:30,Estádio da Madeira,CD Nacional,Gil Vicente FC,0 - 2
4,1,09/08/2025 19:30,Estádio Municipal de Arouca,FC Arouca,AFS,3 - 1
8,1,10/08/2025 16:00,Estádio Municipal de Famalicão,FC Famalicão,Santa Clara,3 - 0
2,1,10/08/2025 19:30,Estádio Municipal de Braga,SC Braga,CD Tondela,3 - 0
6,1,10/08/2025 19:30,Parque Joaquim de Almeida Freitas,Moreirense FC,FC Alverca,2 - 1
5,1,11/08/2025 17:45,Estadio António Coimbra da Mota,Estoril Praia,Estrela Amadora,1 - 1
9,1,11/08/2025 19:45,Estádio do Dragão,FC Porto,Vitória SC,3 - 0
3,1,23/09/2025 19:15,Estádio da Luz,SL Benfica,Rio Ave FC,1 - 1
10,2,15/08/2025 14:45,Estádio do CD Aves,AFS,Casa Pia AC,0 - 2
17,2,16/08/2025 14:30,Estádio João Cardoso,CD Tondela,FC Famalicão,0 - 1
15,2,16/08/2025 17:00,Estádio D. Afonso Henriques,Vitória SC,Estoril Praia,3 - 2
18,2,16/08/2025 19:30,Estádio José Gomes,Estrela Amadora,SL Benfica,0 - 1
14,2,17/08/2025 14:30,Estádio do Rio Ave FC,Rio Ave FC,CD Nacional,1 - 1
11,2,17/08/2025 17:00,Complexo Desportivo FC Alverca,FC Alverca,SC Braga,0 - 3
13,2,17/08/2025 17:00,Estádio de São Miguel,Santa Clara,Moreirense FC,0 - 1
16,2,17/08/2025 19:30,Estádio José Alvalade,Sporting CP,FC Arouca,6 - 0
12,2,18/08/2025 19:15,Estádio Cidade de Barcelos,Gil Vicente FC,FC Porto,0 - 2
27,3,23/08/2025 15:00,Parque Joaquim de Almeida Freitas,Moreirense FC,Vitória SC,2 - 0
19,3,23/08/2025 17:00,Estádio da Madeira,CD Nacional,Sporting CP,1 - 4
20,3,23/08/2025 19:30,Estádio Municipal de Arouca,FC Arouca,Rio Ave FC,3 - 3
22,3,23/08/2025 19:30,Estádio da Luz,SL Benfica,CD Tondela,3 - 0
21,3,24/08/2025 14:30,Estádio Municipal de Famalicão,FC Famalicão,Gil Vicente FC,0 - 0
24,3,24/08/2025 17:00,Estádio do Dragão,FC Porto,Casa Pia AC,4 - 0
23,3,24/08/2025 19:30,Estádio Municipal de Braga,SC Braga,AFS,2 - 2
25,3,25/08/2025 19:15,Estádio José Gomes,Estrela Amadora,FC Alverca,2 - 2
26,3,06/09/2025 19:30,Estadio António Coimbra da Mota,Estoril Praia,Santa Clara,0 - 1
31,4,29/08/2025 19:15,Estádio Cidade de Barcelos,Gil Vicente FC,Moreirense FC,2 - 0
29,4,30/08/2025 14:30,Estádio Municipal de Rio Maior,Casa Pia AC,CD Nacional,0 - 2
28,4,30/08/2025 17:00,Estádio do CD Aves,AFS,FC Famalicão,0 - 1
34,4,30/08/2025 17:00,Estádio D. Afonso Henriques,Vitória SC,FC Arouca,1 - 1
35,4,30/08/2025 19:30,Estádio José Alvalade,Sporting CP,FC Porto,1 - 2
33,4,31/08/2025 14:30,Estádio João Cardoso,CD Tondela,Estoril Praia,2 - 2
30,4,31/08/2025 17:00,Complexo Desportivo FC Alverca,FC Alverca,SL Benfica,1 - 2
32,4,31/08/2025 19:30,Estádio de São Miguel,Santa Clara,Estrela Amadora,0 - 0
36,4,31/08/2025 19:30,Estádio do Rio Ave FC,Rio Ave FC,SC Braga,2 - 2
38,5,12/09/2025 19:15,Complexo Desportivo FC Alverca,FC Alverca,CD Tondela,1 - 0
43,5,12/09/2025 19:15,Estádio da Luz,SL Benfica,Santa Clara,1 - 1
41,5,13/09/2025 14:30,Parque Joaquim de Almeida Freitas,Moreirense FC,Rio Ave FC,3 - 1
44,5,13/09/2025 14:30,Estadio António Coimbra da Mota,Estoril Praia,AFS,3 - 1
45,5,13/09/2025 17:00,Estádio do Dragão,FC Porto,CD Nacional,1 - 0
40,5,13/09/2025 19:30,Estádio Municipal de Famalicão,FC Famalicão,Sporting CP,1 - 2
37,5,14/09/2025 14:30,Estádio José Gomes,Estrela Amadora,Vitória SC,0 - 2
39,5,14/09/2025 17:00,Estádio Municipal de Arouca,FC Arouca,Casa Pia AC,0 - 2
42,5,14/09/2025 19:30,Estádio Municipal de Braga,SC Braga,Gil Vicente FC,0 - 1
52,6,19/09/2025 19:15,Estádio do Rio Ave FC,Rio Ave FC,FC Porto,0 - 3
50,6,20/09/2025 14:30,Estádio de São Miguel,Santa Clara,FC Alverca,2 - 1
51,6,20/09/2025 14:30,Estádio da Madeira,CD Nacional,FC Arouca,1 - 2
46,6,20/09/2025 17:00,Estádio do CD Aves,AFS,SL Benfica,0 - 3
54,6,20/09/2025 19:30,Estádio D. Afonso Henriques,Vitória SC,SC Braga,1 - 1
49,6,21/09/2025 14:30,Estádio João Cardoso,CD Tondela,Estrela Amadora,0 - 0
48,6,21/09/2025 17:00,Estádio Cidade de Barcelos,Gil Vicente FC,Estoril Praia,2 - 0
47,6,21/09/2025 19:30,Estádio Municipal de Rio Maior,Casa Pia AC,FC Famalicão,1 - 1
53,6,22/09/2025 19:15,Estádio José Alvalade,Sporting CP,Moreirense FC,3 - 0
61,7,26/09/2025 19:15,Estádio da Luz,SL Benfica,Gil Vicente FC,2 - 1
63,7,27/09/2025 14:30,Parque Joaquim de Almeida Freitas,Moreirense FC,Casa Pia AC,2 - 1
59,7,27/09/2025 15:30,Estádio de São Miguel,Santa Clara,CD Tondela,1 - 2
62,7,27/09/2025 17:00,Estádio José Gomes,Estrela Amadora,AFS,3 - 0
55,7,27/09/2025 19:30,Estadio António Coimbra da Mota,Estoril Praia,Sporting CP,0 - 1
56,7,28/09/2025 14:30,Complexo Desportivo FC Alverca,FC Alverca,Vitória SC,2 - 0
60,7,28/09/2025 17:00,Estádio Municipal de Braga,SC Braga,CD Nacional,0 - 1
58,7,28/09/2025 19:30,Estádio Municipal de Famalicão,FC Famalicão,Rio Ave FC,0 - 0
57,7,29/09/2025 19:00,Estádio Municipal de Arouca,FC Arouca,FC Porto,0 - 4
65,8,03/10/2025 19:15,Estádio Municipal de Rio Maior,Casa Pia AC,Estoril Praia,2 - 2
68,8,04/10/2025 14:30,Estádio Cidade de Barcelos,Gil Vicente FC,Estrela Amadora,2 - 0
69,8,04/10/2025 14:30,Estádio da Madeira,CD Nacional,Moreirense FC,3 - 2
64,8,04/10/2025 17:00,Estádio do CD Aves,AFS,FC Alverca,1 - 3
70,8,04/10/2025 19:30,Estádio D. Afonso Henriques,Vitória SC,Santa Clara,2 - 1
66,8,05/10/2025 14:30,Estádio Municipal de Arouca,FC Arouca,FC Famalicão,1 - 1
67,8,05/10/2025 16:30,Estádio do Rio Ave FC,Rio Ave FC,CD Tondela,3 - 0
71,8,05/10/2025 18:15,Estádio José Alvalade,Sporting CP,SC Braga,1 - 1
72,8,05/10/2025 20:15,Estádio do Dragão,FC Porto,SL Benfica,0 - 0
75,9,24/10/2025 19:15,Complexo Desportivo FC Alverca,FC Alverca,Gil Vicente FC,0 - 4
79,9,25/10/2025 17:00,Estádio de São Miguel,Santa Clara,AFS,2 - 0
74,9,25/10/2025 19:30,Estádio José Gomes,Estrela Amadora,Rio Ave FC,1 - 2
80,9,25/10/2025 19:30,Estádio da Luz,SL Benfica,FC Arouca,5 - 0
73,9,26/10/2025 15:30,Estadio António Coimbra da Mota,Estoril Praia,CD Nacional,1 - 1
76,9,26/10/2025 15:30,Estádio Municipal de Famalicão,FC Famalicão,Vitória SC,2 - 0
81,9,26/10/2025 18:00,Estádio João Cardoso,CD Tondela,Sporting CP,0 - 3
78,9,26/10/2025 20:30,Estádio Municipal de Braga,SC Braga,Casa Pia AC,4 - 0
77,9,27/10/2025 20:15,Parque Joaquim de Almeida Freitas,Moreirense FC,FC Porto,1 - 2
86,10,31/10/2025 20:15,Estádio José Alvalade,Sporting CP,FC Alverca,2 - 0
87,10,01/11/2025 15:30,Estádio da Madeira,CD Nacional,FC Famalicão,0 - 1
83,10,01/11/2025 18:00,Estádio Municipal de Rio Maior,Casa Pia AC,Estrela Amadora,3 - 5
85,10,01/11/2025 18:00,Estádio do Rio Ave FC,Rio Ave FC,Estoril Praia,0 - 4
90,10,01/11/2025 20:30,Estádio D. Afonso Henriques,Vitória SC,SL Benfica,0 - 3
82,10,02/11/2025 15:30,Estádio do CD Aves,AFS,CD Tondela,2 - 2
84,10,02/11/2025 18:00,Estádio Municipal de Arouca,FC Arouca,Moreirense FC,0 - 2
89,10,02/11/2025 20:30,Estádio do Dragão,FC Porto,SC Braga,2 - 1
88,10,03/11/2025 20:45,Estádio Cidade de Barcelos,Gil Vicente FC,Santa Clara,1 - 0
98,11,07/11/2025 20:15,Estadio António Coimbra da Mota,Estoril Praia,FC Arouca,4 - 3
93,11,08/11/2025 15:30,Complexo Desportivo FC Alverca,FC Alverca,Rio Ave FC,1 - 1
99,11,08/11/2025 18:00,Estádio João Cardoso,CD Tondela,Vitória SC,0 - 1
95,11,08/11/2025 20:30,Estádio de São Miguel,Santa Clara,Sporting CP,1 - 2
91,11,09/11/2025 15:30,Estádio do CD Aves,AFS,Gil Vicente FC,1 - 1
92,11,09/11/2025 15:30,Estádio José Gomes,Estrela Amadora,CD Nacional,1 - 1
94,11,09/11/2025 18:00,Estádio Municipal de Famalicão,FC Famalicão,FC Porto,0 - 1
96,11,09/11/2025 20:30,Estádio Municipal de Braga,SC Braga,Moreirense FC,2 - 1
97,11,09/11/2025 20:30,Estádio da Luz,SL Benfica,Casa Pia AC,2 - 2
102,12,28/11/2025 20:15,Estádio D. Afonso Henriques,Vitória SC,AFS,4 - 0
105,12,29/11/2025 15:30,Estádio Municipal de Rio Maior,Casa Pia AC,FC Alverca,0 - 2
106,12,29/11/2025 15:30,Parque Joaquim de Almeida Freitas,Moreirense FC,FC Famalicão,2 - 2
108,12,29/11/2025 18:00,Estádio da Madeira,CD Nacional,SL Benfica,1 - 2
101,12,29/11/2025 20:30,Estádio Cidade de Barcelos,Gil Vicente FC,CD Tondela,0 - 1
107,12,30/11/2025 15:30,Estádio do Rio Ave FC,Rio Ave FC,Santa Clara,1 - 1
104,12,30/11/2025 18:00,Estádio José Alvalade,Sporting CP,Estrela Amadora,4 - 0
103,12,30/11/2025 20:30,Estádio do Dragão,FC Porto,Estoril Praia,1 - 0
100,12,01/12/2025 20:15,Estádio Municipal de Arouca,FC Arouca,SC Braga,0 - 4
113,13,05/12/2025 20:15,Estádio da Luz,SL Benfica,Sporting CP,1 - 1
112,13,06/12/2025 15:30,Estádio de São Miguel,Santa Clara,Casa Pia AC,1 - 0
109,13,06/12/2025 18:00,Estádio do CD Aves,AFS,Rio Ave FC,1 - 2
117,13,06/12/2025 20:30,Estádio Municipal de Famalicão,FC Famalicão,SC Braga,1 - 2
110,13,07/12/2025 15:30,Estadio António Coimbra da Mota,Estoril Praia,Moreirense FC,3 - 3
111,13,07/12/2025 18:00,Complexo Desportivo FC Alverca,FC Alverca,CD Nacional,1 - 0
115,13,07/12/2025 18:00,Estádio José Gomes,Estrela Amadora,FC Arouca,3 - 1
116,13,07/12/2025 20:30,Estádio João Cardoso,CD Tondela,FC Porto,0 - 2
114,13,08/12/2025 20:30,Estádio D. Afonso Henriques,Vitória SC,Gil Vicente FC,0 - 0
118,14,13/12/2025 15:30,Estádio Municipal de Rio Maior,Casa Pia AC,Gil Vicente FC,1 - 1
126,14,13/12/2025 18:00,Estádio do Rio Ave FC,Rio Ave FC,Vitória SC,0 - 1
121,14,13/12/2025 20:30,Estádio José Alvalade,Sporting CP,AFS,6 - 0
122,14,14/12/2025 15:30,Estádio Municipal de Famalicão,FC Famalicão,Estoril Praia,4 - 0
125,14,14/12/2025 18:00,Parque Joaquim de Almeida Freitas,Moreirense FC,SL Benfica,0 - 4
124,14,14/12/2025 20:30,Estádio Municipal de Arouca,FC Arouca,FC Alverca,1 - 0
119,14,15/12/2025 17:30,Estádio da Madeira,CD Nacional,CD Tondela,3 - 1
120,14,15/12/2025 18:45,Estádio Municipal de Braga,SC Braga,Santa Clara,1 - 0
123,14,15/12/2025 20:45,Estádio do Dragão,FC Porto,Estrela Amadora,3 - 1
135,15,19/12/2025 20:15,Estadio António Coimbra da Mota,Estoril Praia,SC Braga,1 - 0
130,15,20/12/2025 18:00,Estádio Cidade de Barcelos,Gil Vicente FC,Rio Ave FC,2 - 2
128,15,20/12/2025 20:30,Estádio José Gomes,Estrela Amadora,Moreirense FC,0 - 0
127,15,21/12/2025 15:30,Estádio do CD Aves,AFS,CD Nacional,2 - 2
133,15,21/12/2025 18:00,Estádio João Cardoso,CD Tondela,Casa Pia AC,1 - 2
134,15,21/12/2025 20:30,Estádio de São Miguel,Santa Clara,FC Arouca,0 - 0
129,15,22/12/2025 18:45,Complexo Desportivo FC Alverca,FC Alverca,FC Porto,0 - 3
131,15,22/12/2025 20:45,Estádio da Luz,SL Benfica,FC Famalicão,1 - 0
132,15,23/12/2025 20:45,Estádio D. Afonso Henriques,Vitória SC,Sporting CP,1 - 4
140,16,27/12/2025 18:00,Estádio Municipal de Famalicão,FC Famalicão,Estrela Amadora,2 - 3
141,16,27/12/2025 20:30,Estadio António Coimbra da Mota,Estoril Praia,FC Alverca,4 - 1
136,16,28/12/2025 15:30,Estádio Municipal de Rio Maior,Casa Pia AC,Vitória SC,0 - 0
137,16,28/12/2025 15:30,Estádio Municipal de Arouca,FC Arouca,Gil Vicente FC,2 - 2
144,16,28/12/2025 18:00,Estádio Municipal de Braga,SC Braga,SL Benfica,2 - 2
142,16,28/12/2025 20:30,Estádio José Alvalade,Sporting CP,Rio Ave FC,4 - 0
139,16,29/12/2025 20:15,Estádio do Dragão,FC Porto,AFS,2 - 0
143,16,11/01/2026 15:30,Estádio da Madeira,CD Nacional,Santa Clara,3 - 3
138,16,11/01/2026 18:00,Parque Joaquim de Almeida Freitas,Moreirense FC,CD Tondela,1 - 0
147,17,02/01/2026 18:45,Estádio Cidade de Barcelos,Gil Vicente FC,Sporting CP,1 - 1
150,17,02/01/2026 20:45,Estádio D. Afonso Henriques,Vitória SC,CD Nacional,2 - 1
152,17,03/01/2026 15:30,Estádio João Cardoso,CD Tondela,FC Arouca,3 - 1
149,17,03/01/2026 18:00,Estádio da Luz,SL Benfica,Estoril Praia,3 - 1
153,17,03/01/2026 18:00,Estádio José Gomes,Estrela Amadora,SC Braga,3 - 3
145,17,03/01/2026 20:30,Estádio do CD Aves,AFS,Moreirense FC,0 - 2
151,17,04/01/2026 15:30,Estádio do Rio Ave FC,Rio Ave FC,Casa Pia AC,3 - 1
148,17,04/01/2026 18:00,Estádio de São Miguel,Santa Clara,FC Porto,0 - 1
146,17,04/01/2026 20:30,Complexo Desportivo FC Alverca,FC Alverca,FC Famalicão,1 - 0
